,a
28696535,3ea898a9cbd856fd31171e295b137cee5c840553	SOMGIYR12AB0187973	4
4114758,c9bc33543fd3721808e55c398f64e3beeffdf505	SOQGJZA12A8C1367AE	1
1261241,5051ed1c1798559ed7dc1331be64d5eaee1b084e	SOQLOWP12A8C13A93A	1
26656676,fba8b28ee655930d5937e8116dd40a8805e3a2a6	SOHSXEJ12A8C140A30	1
19772639,1aca92d22917055fda062282cbaba5d24f744b1b	SOVSAPZ12A8C1364CA	1
27559947,634e6ac43b0883bf1dc74e9c50c71232609ad8dc	SOTRXFW12A8C133B4B	1
13462984,2dbe3384661bc9ad5d6e1d4f024542bb35a5aa37	SOLRGNF12AB0187CF4	2
17362211,58a92fd099c9f8bc9198782abdf0406ef7f27e1d	SODIDCM12A58A7B04A	2
4102384,6b28404a735399903075e2e835112c126b854203	SOEMWYG12A58A7C7FF	1
20486576,78fc63416eb1044de070ad469a8836fdbd2239d0	SOLICSR12A8C138019	5
33746114,17b7d6aca53f5cbe715094fb2f3351b925c8e1f7	SOBXUAA12A6D4F89BE	1
5164285,f44e52b6f92d3fb7dd5e3766eb5be2667be3a7a6	SOZGTNW12A58A7E193	1
8112801,fe89fdbbd02a1430a3c06aafac4fb85ae0fd8d98	SOGPBAW12A6D4F9F22	1
42570582,01b98e36800f0fbfcb47f18a510b89b18b67d7e6	SOYYJAM12A6701ED36	1
32829772,c500b9f36d25a4ca801160dab4410e94bebf5b8c	SOXMRNM12AB0185471	3
13239801,c7212fc17301f9c52b5d8d12b5bd796589f15821	SOFDKMR12A8C13F3B8	3
12724854,bd1464fe24036c5aaa358656e59dbfaa611fb95e	SOZRCDB12AB018A1B7	2
21807713,f62287e6d40e0f8fae3a12cf1ec7231409a7c224	SOEKVCJ12AB0185E18	1
30126466,713ab9ede584f9b42f09a697a72545fffc9af0e6	SOBONKR12A58A7A7E0	1
25946721,62c251f1400929607906a797b8074e868e019a7c	SODPPDY12AB017F767	1
17847302,808b4df9b731bdd4a3920b6b687a8f6f2f76fde7	SOWSOAZ12A8C13172A	3
41897336,56ed72896de3745b25cba0617d8e7ff2cc500ac5	SODSBXG12A6310E90F	1
2005599,dd94224b3222e1618de852754948fdaf45bb7d93	SOQLCEN12A8C13CFFC	1
47235324,a53e915b61eb2344592e0f8a22cbd1028bd8b1d2	SOJHVDP12AB018412D	2
8213656,e8f6a8d06b0096737dec1a9f44c3d48cd9e5e4b8	SOVTLQW12AB0186641	1
29010997,5548a709e6ac4c821f27edd4437f379817be0c54	SOSGTBQ12AB0185D6E	5
29889997,b283e32f4419d81dace1061d90715fc243777cd3	SOWLAQT12A8C13D037	1
40035545,61b316af61985844476a31ed21eaa2aac37bda01	SOIOVTS12A6D4F743F	3
11735211,68dae06998ec1e75cdc84f7627b3c60c3dd46298	SOAYATI12AB017E8B1	1
6777719,fed42a387fa39d62a3fa165f9c77738766880e40	SOIZAMU12A58A7762F	10
7410034,8c13f353da99bcc8dd4868b02007388d82780747	SOZCCEU12A8C13D1EA	2
24537116,daa5a5757369cbdeb5c322cdac995f19dc20540b	SOUUOXQ12AB018B792	37
23838256,d58a288e4526d80186741c238bdd78c9c9d3ba7b	SONDPVO12A6D4FA0C0	1
20697052,2cf2e5f54056c53d905fced2e6b0151f5f9f7164	SOUMOMJ12A6701DFDC	2
2988036,914f5d8faa15c2e9380a4e51fca0c5dba02dcb27	SOBHXWK12A6D4FD10E	1
8480478,10e4ea90f23f5b8f82f382c6e50e6fc9af6b41fb	SOQCITY12A58A80D6B	2
3548018,e121d318873d74236d32707903a7ca79dc72eaef	SOUBAPF12A67021D73	23
16931571,288d75a527ebb7d8bc9449b105a404e20a33935b	SOCHFOV12A6D4F979F	1
25176079,c73efeb246087fb285b9624625741d295ea5fa70	SOWBNGK12A8C143932	2
23356133,ec4abbe55c2b64786ca6a3b2cc70e3fc90a94c16	SOTRDVJ12A8C13975E	1
13939469,d07e0c3485048c6482c2cecee2cb41e2362eb9aa	SOWNIUS12A8C142815	1
13922243,162b28ed203eeb072a3a69914df6deb9c62c5bcb	SODNXLR12A8C13CF0D	2
1673038,e4a557ef3734873303ec71bec6faf350fec8036a	SOOKWSG12AAF3B48C9	1
38425650,f207bafd2cd42df58b09142ef8043f428240d1a9	SOTXACG12A8C144082	1
16355355,44b087adeb27c9e87f2197df9a0e9d68d47a0f2a	SOIJOUP12A8C136B7C	3
8516974,6fab1e02fb849ad089258d07052af50e79092134	SOBOAFP12A8C131F36	3
44573771,321d6ebd3d1f52ab885c8daa226ed1883d686391	SOBSGZI12A8C13F8DF	125
36697999,efecf94b995791a8817dfc3d6331a8350abd8986	SOJPWUV12A8C13610A	1
30718909,eb0f536754b5b6d134b778145a12c4f2131adf46	SOBOAFP12A8C131F36	2
38216041,4d8d67dbb089847fc6870a0cd3c1a049558314c1	SOOCKPO12A67021D10	4
18637997,7e2dbe0a2f191e5966f0cb361d9300ac277df0b3	SOGDHLW12A6D4FC29B	1
26772275,91f724eaa53bdd0864f471b010f7bb44be8d7399	SOXUSLF12AB018203F	1
21994774,667868451141503933b79744ae04a14514842268	SOPTLQL12AB018D56F	3
5555842,2a6499e3b9c4684c499bc82b728fd48837c191a6	SOUZLXN12A6D4F4A66	1
13777724,5c6f5d43a053b1d04fe2ef7291a36970d5e00404	SORRQLS12A81C20B79	1
19177244,7c38b0cdfd4b245734a8e6c0e14fe587413ff555	SOBNVTY12A8AE49749	1
7362540,67c192810e4ed55f176c9001da36e149395a1dfc	SOCHFER12A8C13285D	11
47451860,a3a9d3430d130caa959c64aa8b0dcbf921857b64	SOSZKXM12A8AE49073	2
38215988,92bb65e01d922639a01578938e8dedd9ff18a674	SOOBUXN12AB01887FA	1
18336319,9059d9b88ce9ee85fdc57bacf54663afe213e182	SOUAZDS12A8C13BA91	2
19321325,fb754dd2d660fbac468f1087d23d05ab55aedebd	SOYCCIR12A6D4F9210	19
22515910,6f48490e074fc8b4ca5815a58b33a37913f631b9	SOAJVOL12AAF3B25E6	1
3977715,cdf784f480f2d4e797d17e3f4b40fd2c65dd67cf	SOQAQYN12A58A7B08D	2
23470333,9e6ef82a578533caf1a775b94c8bbd053a9a03f7	SOZCBWK12A58A7DFA5	5
34610364,e1fc6f9e4c1ad72b7c480ef1fe48354e4861111f	SOOIKKF12A8AE4697E	10
46298906,0eef4ce986930d62616070cdd8860ebf2d5ef2f4	SOSYMPY12A8C13C593	1
31609320,4bdd319f69256058d21243529ffed7829bba6d7b	SOVFNKP12A81C2177F	4
534200,dd0ec28ceb14eed3b3c50292aa5a9e94dbbf3e26	SOUMSTF12A6D4F8039	9
16592174,5031aa9f3eabf55870fc3f6f1b686eb51352737d	SOOLWEJ12AB0186DA4	6
22062913,6e75e784b8ee80c56120ac417867e4ed524c26b8	SOVMZQA12AB018152C	1
44189217,99384de6d7da50e1e01ca04933750381450fc8d6	SOJGRIS12AB018B889	1
48069427,f16928a003393d8dc0074ad063652ae16d8ebd5a	SOFGJCW12AF72A812D	1
32565793,e5c8f5cddb3acc0406d8dd12738650125cbc6cd2	SOYGFZL12AB018639E	1
17927650,34583c24c533b10efaf5dc6b2055cd4a294e3d2a	SOOQPIK12A6701F1C5	3
41450762,560bff8b34d1277f616b2cb8fd68fdf121c32602	SOWYYUQ12A6701D68D	1
32708270,982176d7a868bdae061d0c9ed5489610d15b21ae	SONNSYV12A8C146BEC	1
31604158,5f84bdc86fe7a69766e39ac4f5ef30b655154d35	SORCAKN12A58A7A2CF	6
42999081,c0ce42c525ffce3b71c5a4253739635f17b42651	SOIACJV12A6D4F8A90	1
12935230,3a673db3b7c9c382362fcb404ca8bc38f314a635	SOPCVQE12AC468AF36	1
